papipe_peak,papipe_umis
GL000194.1_66275_r,16
GL000205.2_59927_r,63
GL000219.1_56350_r,23
GL000219.1_83239_r,75
GL000219.1_83634_r,160
GL000219.1_98296_r,8
GL000219.1_98784_r,31
KI270713.1_21675_r,58
KI270718.1_37226_r,6
KI270722.1_68970_f,1
KI270727.1_45061_r,50
KI270733.1_128020_f,17
KI270733.1_128612_f,227
KI270733.1_130093_f,344
KI270733.1_135181_f,18093
KI270733.1_160119_f,280
KI270733.1_168204_f,896
KI270733.1_169010_f,52
KI270733.1_173237_f,473
KI270734.1_110779_f,20
KI270744.1_125551_r,42
KI270744.1_143352_f,193
chr10_1000260_r,70
chr10_100095583_r,1
chr10_100150094_r,1488
chr10_100150440_r,263
chr10_100151033_r,12
chr10_100151952_r,174
chr10_100152563_r,23
chr10_100156188_r,83
chr10_100157237_r,5
chr10_100162727_r,164
chr10_100167371_r,135
chr10_100179474_r,571
chr10_100180166_r,48
chr10_100180804_r,43
chr10_100181533_r,995
chr10_100182632_f,37
chr10_100183379_r,200
chr10_100184756_r,146
chr10_100185271_r,996
chr10_100187834_f,13
chr10_100189785_r,65
chr10_100190038_r,282
chr10_100196407_r,65
chr10_100197649_r,4
chr10_100209317_r,1
chr10_1002224_f,23
chr10_100232298_r,448
chr10_100232590_r,258
chr10_100245190_r,315
chr10_100250398_r,130
chr10_100257313_r,201
chr10_100260569_r,283
chr10_100262948_r,343
chr10_100267048_r,554
chr10_100275032_r,395
chr10_100279145_r,25
chr10_100285963_r,366
chr10_100363609_f,31
chr10_100364825_f,73
chr10_100486647_r,398
chr10_100494390_r,6
chr10_100510002_r,2
chr10_100523740_r,6803
chr10_100525424_r,1136
chr10_100550006_f,143
chr10_100553917_f,222
chr10_100566256_f,6
chr10_100578729_r,1
chr10_1007057_f,218
chr10_100912338_r,34
chr10_100913886_f,116
chr10_100931223_f,6
chr10_100933635_f,7
chr10_100944494_f,47
chr10_100981380_r,119
chr10_100985616_f,5
chr10_100986277_r,1215
chr10_100994403_f,38
chr10_101007679_r,265
chr10_101007836_f,905
chr10_101013083_r,7
chr10_101016642_r,1
chr10_101017628_r,638
chr10_101023098_r,156
chr10_101033047_f,20
chr10_101034695_f,1
chr10_101041242_f,1250
chr10_1010519_f,231
chr10_101058590_r,3
chr10_101354531_f,21
chr10_101355223_f,56
chr10_101390498_f,49
chr10_101410253_f,10
chr10_101433473_f,5
chr10_101439333_f,15
chr10_101445335_f,20
chr10_1014658_f,464
chr10_101523942_f,8
chr10_101554216_f,43
chr10_101555721_f,4
chr10_1015931_f,148
chr10_101595530_r,10
chr10_101609662_f,203
chr10_101610666_r,641
chr10_101622727_f,242
chr10_101640676_r,246
chr10_101652335_r,69
chr10_101675409_r,7
chr10_101676711_f,362
chr10_101687235_r,24
chr10_101689725_r,22
chr10_101690540_r,68
chr10_101691562_r,484
chr10_101700722_f,8
chr10_1017692_f,974
chr10_101781325_r,1218
chr10_101784450_r,936
chr10_101785762_r,625
chr10_101786015_r,393
chr10_101787428_r,104
chr10_101788752_r,179
chr10_101790291_r,562
chr10_101791849_r,906
chr10_101792186_r,2081
chr10_101796073_r,51
chr10_101803373_r,35
chr10_101807303_r,32
chr10_101813846_r,291
chr10_101818022_r,91
chr10_101819637_f,5
chr10_1018423_f,547
chr10_101845604_r,293
chr10_101846421_r,133
chr10_101861729_f,107
chr10_101876162_r,29
chr10_101924526_r,14
chr10_1019343_f,219
chr10_101947343_r,2
chr10_101965031_r,47
chr10_101966315_r,254
chr10_1019926_f,245
chr10_102021864_r,20
chr10_102029448_r,325
chr10_102047503_r,91
chr10_102053678_r,66
chr10_102061432_r,2
chr10_102068036_f,171
chr10_102106492_r,104
chr10_102107560_r,833
chr10_102144065_f,7
chr10_102145566_f,76
chr10_102150333_f,159
chr10_102152988_f,36
chr10_102155380_f,41
chr10_102162600_f,165
chr10_102163870_f,455
chr10_102250993_f,136
chr10_102252040_f,105
chr10_102273016_f,118
chr10_102284293_f,18
chr10_102288722_f,194
chr10_102297465_f,20
chr10_102303752_f,11
chr10_102307641_f,103
chr10_102322715_f,109
chr10_102330908_f,13
chr10_102331493_f,61
chr10_102334686_f,183
chr10_102335287_f,1
chr10_102345281_f,95
chr10_102356149_f,16
chr10_102382896_f,426
chr10_102399215_f,1107
chr10_102402524_f,507
chr10_102423136_f,1011
chr10_102423249_r,1128
chr10_102429020_f,3
chr10_102431277_r,72
chr10_102456293_f,134
chr10_102477045_f,193
chr10_102479242_r,686
chr10_102480809_r,267
chr10_102491511_r,47
chr10_102492089_r,96
chr10_102511285_f,7
chr10_102517286_f,11
chr10_102568208_f,113
chr10_102579676_f,7
chr10_102590959_f,13
chr10_102642887_r,333
chr10_102642931_f,443
chr10_102643328_f,2532
chr10_102643924_f,14
chr10_102645182_f,41
chr10_102646828_f,67
chr10_102654721_f,24
chr10_102656356_f,13
chr10_102658318_f,711
chr10_102662195_f,121
chr10_102662544_f,390
chr10_102667251_f,160
chr10_102674913_f,22
chr10_102739170_f,121
chr10_102744449_f,36
chr10_102754461_f,3
chr10_102762447_f,4
chr10_102778231_f,12
chr10_102785201_r,480
chr10_102816262_f,275
chr10_102855682_f,19
chr10_102858164_f,78
chr10_102862903_f,99
chr10_102863335_f,729
chr10_102864208_f,126
chr10_102925296_f,237
chr10_102952605_f,22
chr10_102976276_f,7
chr10_103019893_f,5
chr10_103083393_f,17
chr10_103088155_r,1135
chr10_103089198_r,73
chr10_103093212_r,10
chr10_103106140_r,47
chr10_103109624_r,44
chr10_103118785_r,719
chr10_103121037_r,18
chr10_103125926_r,21
chr10_103126830_r,444
chr10_103130803_r,255
chr10_103139729_r,614
chr10_103142048_r,804
chr10_103143170_r,33
chr10_103144015_r,209
chr10_103144861_r,185
chr10_103146701_r,179
chr10_103147068_r,607
chr10_103151139_r,1346
chr10_103153902_r,542
chr10_103154969_r,5
chr10_103154971_f,11
chr10_103158095_r,36
chr10_103159685_r,15
chr10_103161919_r,59
chr10_103164960_r,309
chr10_103165689_r,1220
chr10_103166672_r,2583
chr10_103167183_r,2181
chr10_103167631_r,1067
chr10_103169697_r,841
chr10_103170548_r,2107
chr10_103174125_r,311
chr10_103174606_r,496
chr10_103176478_r,135
chr10_103177007_r,861
chr10_103178967_r,510
chr10_103180749_r,62
chr10_103182742_r,181
chr10_103183529_r,2244
chr10_103188666_r,353
chr10_103189695_r,699
chr10_103190019_r,1352
chr10_103190425_r,294
chr10_103191086_r,383
chr10_103191382_f,625
chr10_103191970_r,5108
chr10_103195208_f,223
chr10_103306103_r,4
chr10_103344568_r,11
chr10_103350199_r,4
chr10_103389054_r,6297
chr10_103439378_f,14
chr10_103445723_f,98
chr10_103446294_f,199
chr10_103594032_r,88
chr10_103882552_r,333
chr10_103889720_r,6
chr10_103908128_f,3
chr10_103965593_r,23
chr10_103967722_f,74
chr10_103970584_f,81
chr10_103982600_f,11
chr10_104001521_f,46
chr10_104002705_f,108
chr10_1040032_r,1707
chr10_104005208_f,130
chr10_104022219_f,41
chr10_1040902_r,73
chr10_104122747_f,118
chr10_104129006_f,4
chr10_1041826_r,943
chr10_104261014_f,38
chr10_104263426_f,24
chr10_104266253_r,5
chr10_104267464_f,4749
chr10_104309350_r,161
chr10_104312145_r,791
chr10_1043148_r,416
chr10_104337516_r,1849
chr10_1045499_r,902
chr10_1047886_r,459
chr10_1050266_f,294
chr10_1056163_f,464
chr10_1056860_f,51
chr10_1058884_f,116
chr10_1061837_f,876
chr10_1062664_f,91
chr10_1063081_f,639
chr10_1064134_f,326
chr10_1065598_f,307
chr10_1066109_f,282
chr10_107745714_f,4
chr10_1087430_f,54
chr10_109052599_r,1
chr10_109063112_f,1
chr10_109812416_f,3
chr10_109864766_r,1016
chr10_109873298_r,56
chr10_109885483_r,906
chr10_109889683_r,10
chr10_109891595_r,279
chr10_109897672_r,283
chr10_109900195_r,8
chr10_109902846_r,11
chr10_109905676_r,33
chr10_109914797_f,33
chr10_109987578_r,2
chr10_110033167_f,3
chr10_110037604_f,51
chr10_110051118_f,9
chr10_110052598_f,4
chr10_110078026_f,12
chr10_110091727_f,13
chr10_110132393_f,70
chr10_110207195_r,33
chr10_110208539_r,117
chr10_110208890_f,21
chr10_110209659_r,68
chr10_110212233_f,7
chr10_110222606_f,16
chr10_110229044_f,169
chr10_110235401_f,182
chr10_110237294_f,3
chr10_110245561_f,51
chr10_110250829_f,403
chr10_110256295_f,419
chr10_110257688_f,187
chr10_110277972_f,22
chr10_110280082_f,62
chr10_110285151_f,191
chr10_1102862_f,18
chr10_110286633_f,730
chr10_110287070_f,19
chr10_110289071_f,11
chr10_110293042_r,563
chr10_110293884_r,116
chr10_110295458_f,52
chr10_110298009_r,107
chr10_110497260_r,408
chr10_110500965_f,5
chr10_110511541_f,327
chr10_110568915_f,29
chr10_110583420_f,264
chr10_110589685_f,75
chr10_110591369_f,288
chr10_110592262_f,405
chr10_110597669_f,47
chr10_110601755_f,236
chr10_110602069_f,189
chr10_110604632_f,850
chr10_110638751_f,1
chr10_110864734_r,6
chr10_110869743_r,148
chr10_110872947_f,696
chr10_110873473_f,407
chr10_110873728_f,227
chr10_110874341_f,273
chr10_110875387_f,138
chr10_110875791_f,330
chr10_110877136_f,1513
chr10_110877507_f,295
chr10_110878341_f,422
chr10_110879504_f,4858
chr10_110880243_f,427
chr10_110881345_f,500
chr10_110881790_f,112
chr10_110882956_f,172
chr10_110884656_f,764
chr10_110885814_f,255
chr10_110886453_f,71
chr10_110889221_f,4242
chr10_110889819_f,67
chr10_110891125_f,2809
chr10_110892155_f,769
chr10_110893935_f,29
chr10_110894603_f,104
chr10_110896034_f,136
chr10_110896898_f,552
chr10_110897483_f,61
chr10_110898142_f,164
chr10_110898739_f,1623
chr10_110899145_f,714
chr10_110899796_f,2442
chr10_110899891_r,113
chr10_110900229_r,278
chr10_110900615_f,215
chr10_110902640_f,45
chr10_110908790_f,249
chr10_110909880_f,36
chr10_110913014_f,34
chr10_110915664_r,90
chr10_110916297_r,14
chr10_110919658_f,670
chr10_110921025_f,339
chr10_110921723_f,157
chr10_110922662_f,603
chr10_110925070_f,2563
chr10_110925824_f,182
chr10_110926760_f,110
chr10_110928435_f,224
chr10_110929536_f,17
chr10_110930455_f,258
chr10_110930736_r,1756
chr10_110934281_f,1058
chr10_110938969_f,205
chr10_110940152_f,141
chr10_110941094_f,12
chr10_110941690_f,552
chr10_110942216_f,91
chr10_110944384_f,3640
chr10_110946297_f,490
chr10_110946603_f,445
chr10_110947581_f,3924
chr10_110948012_f,816
chr10_110948346_f,543
chr10_110948682_f,1174
chr10_110949454_f,3338
chr10_110950050_f,1644
chr10_110951078_f,712
chr10_110952305_f,162
chr10_110954778_f,271
chr10_110959078_f,311
chr10_110962461_f,77
chr10_110962856_f,34
chr10_110964385_f,2100
chr10_110965675_f,643
chr10_110966036_f,280
chr10_110966495_f,48
chr10_110969020_f,163
chr10_110972846_f,479
chr10_110975562_f,36
chr10_110982929_f,43
chr10_110983276_f,59
chr10_110984618_f,101
chr10_110985911_f,82
chr10_110986416_f,95
chr10_110987943_f,558
chr10_110990082_f,474
chr10_110996377_f,1009
chr10_110999033_f,155
chr10_110999736_f,1472
chr10_111000920_f,55
chr10_111005283_f,162
chr10_111012433_f,145
chr10_111013665_f,1176
chr10_111018669_f,65
chr10_111019011_f,51
chr10_111020425_f,44
chr10_111029248_f,2
chr10_11163595_r,14
chr10_11165534_f,392
chr10_11166485_f,111
chr10_11166855_f,256
chr10_11167273_f,1679
chr10_11168377_r,18
chr10_11170372_f,1812
chr10_11170812_f,394
chr10_11171251_f,461
chr10_11172128_f,200
chr10_11172740_f,2027
chr10_11173863_f,1031
chr10_11174175_f,988
chr10_11174878_f,1595
chr10_11176110_f,186
chr10_11177416_f,6824
chr10_11179281_f,5090
chr10_11179954_f,363
chr10_11182084_f,806
chr10_11182353_f,68
chr10_11183394_f,72
chr10_11183854_f,67
chr10_11184925_f,67
chr10_11185780_f,232
chr10_11188334_f,47
chr10_11190775_f,9210
chr10_1119128_f,18
chr10_11191730_f,248
chr10_11193335_f,340
chr10_11193848_f,512
chr10_11194507_f,271
chr10_11195539_f,575
chr10_11196047_f,3693
chr10_11196501_f,4247
chr10_11196992_f,15359
chr10_11197465_f,515
chr10_11197762_f,168
chr10_11198251_f,588
chr10_11199844_f,177
chr10_11200160_f,176
chr10_11202296_f,419
chr10_11203337_f,296
chr10_11204425_f,516
chr10_11205105_f,167
chr10_1120538_f,28
chr10_11205875_f,1243
chr10_11207247_f,1584
chr10_11208259_f,247
chr10_11208903_f,192
chr10_11209185_f,193
chr10_11209797_f,5833
chr10_11210583_f,812
chr10_11210954_f,5119
chr10_11213457_f,186
chr10_11213917_f,106
chr10_11216389_f,371
chr10_11217048_f,63
chr10_11217510_f,1773
chr10_11217852_f,2501
chr10_11218806_f,126
chr10_11219617_f,311
chr10_11220083_f,365
chr10_11220694_f,44
chr10_11225045_f,59
chr10_11228265_f,215
chr10_11228718_f,3971
chr10_11229329_f,171
chr10_11230348_f,148
chr10_11231644_f,3955
chr10_11231927_f,1935
chr10_11233127_f,439
chr10_11234377_f,1752
chr10_11234679_f,2957
chr10_11237223_f,1652
chr10_11238732_f,193
chr10_11239757_f,172
chr10_112404544_f,3
chr10_112416627_r,5
chr10_112417201_f,17
chr10_11242014_f,120
chr10_112427555_f,107
chr10_112428378_f,181
chr10_112430300_r,275
chr10_112430727_r,33
chr10_11243447_f,1589
chr10_112439832_r,7
chr10_112444293_r,4
chr10_112445480_r,87
chr10_11244658_f,1970
chr10_112450723_f,140
chr10_11254365_f,180
chr10_112573419_f,15
chr10_11258261_f,171
chr10_11259429_f,1805
chr10_11259862_f,206
chr10_11260712_f,3576
chr10_112607617_f,2
chr10_112636728_f,127
chr10_11264429_f,176
chr10_112652070_f,35
chr10_11266004_f,130
chr10_112673314_f,459
chr10_11268219_f,1543
chr10_112687972_r,109
chr10_11269034_f,526
chr10_11269565_f,163
chr10_112704290_f,10
chr10_11270522_f,56
chr10_112705284_f,6
chr10_112709711_r,1046
chr10_112725260_f,5
chr10_112728422_f,64
chr10_112736656_f,8
chr10_11273709_f,93
chr10_112737807_f,129
chr10_11274120_f,64
chr10_11274958_f,10
chr10_112751475_f,314
chr10_112752168_f,4
chr10_112753203_f,12
chr10_112768019_f,9
chr10_11277212_f,30
chr10_11278094_f,1123
chr10_112787720_r,20
chr10_112815553_f,113
chr10_112818744_f,155
chr10_11293213_f,32
chr10_112941681_r,24
chr10_112950144_r,21
chr10_112950728_r,278
chr10_112954415_f,52
chr10_112955509_f,83
chr10_112955835_f,208
chr10_112961613_f,344
chr10_112962313_f,179
chr10_112966324_f,4
chr10_112974352_f,246
chr10_112979755_f,713
chr10_112981308_f,1175
chr10_11298721_f,29
chr10_112989802_f,11
chr10_112993505_f,219
chr10_113005775_f,228
chr10_113015620_f,22
chr10_113019661_f,104
chr10_113021397_f,7
chr10_113032082_f,8
chr10_113045199_f,33
chr10_113047230_f,45
chr10_113061154_f,13
chr10_113075459_f,705
chr10_113076135_f,387
chr10_113082333_f,83
chr10_113098049_f,638
chr10_113102232_f,178
chr10_11311448_f,231
chr10_113116490_f,16
chr10_11312949_f,760
chr10_113139811_f,263
chr10_113147988_f,15
chr10_11314810_f,139
chr10_11315431_f,326
chr10_113160690_f,5
chr10_113167678_f,434
chr10_11317174_f,607
chr10_113194117_f,1
chr10_11321712_f,263
chr10_113222595_f,5
chr10_11322521_f,75
chr10_113241472_r,3
chr10_1132474_f,16
chr10_11329254_f,443
chr10_11329802_f,1156
chr10_11331814_f,49
chr10_11332743_f,433
chr10_11333237_f,748
chr10_11333560_f,1696
chr10_113340609_f,1
chr10_11334357_f,428
chr10_11336516_f,609
chr10_113712388_f,11
chr10_113730905_f,101
chr10_113859023_f,49
chr10_113860703_f,68
chr10_113861166_f,32
chr10_113877130_f,195
chr10_113908877_f,54
chr10_113911475_f,66
chr10_113917194_f,120
chr10_114120862_r,149
chr10_114122213_r,58
chr10_114140454_r,6
chr10_114144643_r,25
chr10_114161610_r,222
chr10_114162637_r,305
chr10_114165969_r,90
chr10_114167039_r,275
chr10_114243023_f,1
chr10_114431112_r,30
chr10_114732202_r,9
chr10_114792727_r,3
chr10_114822521_f,99
chr10_114825444_f,58
chr10_114826020_f,44
chr10_114826844_f,69
chr10_114827390_f,185
chr10_114830262_f,12
chr10_114833672_f,632
chr10_114841609_f,23
chr10_114843713_f,17
chr10_114847197_f,60
chr10_114848328_f,39
chr10_114851713_f,491
chr10_114864717_f,945
chr10_11489006_r,20
chr10_114960006_f,85
chr10_114969170_f,15
chr10_114977676_f,54
chr10_114987586_r,4
chr10_11525639_r,11
chr10_11548829_r,11
chr10_11556676_r,4
chr10_11563727_r,35
chr10_11571259_r,414
chr10_11577027_r,365
chr10_11577982_r,119
chr10_11597117_r,23
chr10_11597526_r,51
chr10_11612226_f,5
chr10_11612806_f,1
chr10_11630893_f,3
chr10_116506344_r,21
chr10_116884801_r,133
chr10_116889762_r,5
chr10_116896143_r,10
chr10_116930000_r,10
chr10_116951925_r,38
chr10_116995482_r,6
chr10_117280489_r,86
chr10_117281475_r,29
chr10_117282306_r,62
chr10_117283092_r,82
chr10_117291180_r,22
chr10_117301012_r,174
chr10_117305813_r,3
chr10_117326492_r,8
chr10_117330060_r,209
chr10_117330750_r,38
chr10_117335464_r,17
chr10_117336825_r,24
chr10_117347030_r,220
chr10_117356156_r,94
chr10_117357765_f,271
chr10_117357956_r,40
chr10_117368876_r,436
chr10_118004916_r,254
chr10_118007128_r,6
chr10_118024218_r,28
chr10_118030759_r,77
chr10_118032224_r,10
chr10_11824039_f,76
chr10_11827004_f,478
chr10_118297931_r,51
chr10_118299086_r,5
chr10_118305889_r,68
chr10_118309922_r,300
chr10_118310720_r,1027
chr10_118317274_r,9
chr10_118319779_r,6
chr10_118334431_r,253
chr10_118335555_r,180
chr10_118335976_r,415
chr10_11837227_f,635
chr10_11849037_f,193
chr10_11855473_f,412
chr10_11859008_f,390
chr10_118660717_r,1
chr10_118679520_r,180
chr10_118681503_r,531
chr10_11868225_f,12
chr10_118687824_r,308
chr10_118689126_r,16
chr10_118689996_r,3
chr10_118692597_r,94
chr10_118694377_r,50
chr10_118698044_r,86
chr10_118698795_r,17
chr10_11870881_f,1247
chr10_118710228_r,732
chr10_118719871_r,37
chr10_11872277_f,244
chr10_118723076_r,76
chr10_118723815_r,147
chr10_118724632_r,22
chr10_118728355_f,6
chr10_118729071_r,285
chr10_11874505_f,51
chr10_118746173_r,10
chr10_118751436_r,274
chr10_118792918_f,3
chr10_119010438_r,1
chr10_119033670_r,150
chr10_119035041_r,929
chr10_119037934_r,777
chr10_119038341_r,516
chr10_119041644_r,101
chr10_119042835_r,135
chr10_119049909_r,567
chr10_119050581_r,989
chr10_119051198_r,734
chr10_119055538_r,9
chr10_119056990_r,524
chr10_119058083_r,1726
chr10_119060682_r,286
chr10_119061893_r,150
chr10_119066505_f,483
chr10_119070975_r,24
chr10_119071620_r,82
chr10_119072266_r,244
chr10_119074918_f,641
chr10_119076636_r,31
chr10_119077480_f,29
chr10_119078470_r,17
chr10_119081520_f,254
chr10_119082248_f,32
chr10_119104986_f,498
chr10_119121468_r,19
chr10_119126939_f,2
chr10_119137982_f,64
chr10_119140913_r,709
chr10_119152276_r,42
chr10_119158615_f,46
chr10_119164286_r,301
chr10_119164585_r,135
chr10_119167703_r,2681
chr10_11920022_r,476
chr10_119299445_f,58
chr10_11936780_r,2
chr10_119408163_f,149
chr10_119410287_f,5
chr10_119411612_f,16
chr10_119439562_f,2
chr10_119455539_f,145
chr10_119499943_r,4915
chr10_119504913_r,2
chr10_119515158_r,11
chr10_119518725_r,47
chr10_119530090_f,3
chr10_11954897_r,34
chr10_119573054_f,11
chr10_119573482_r,129
chr10_119574057_r,15
chr10_119575412_r,1344
chr10_119576700_r,147
chr10_119576971_r,84
chr10_119578921_r,18
chr10_119580509_r,379
chr10_119585122_f,66
chr10_119585949_r,142
chr10_119586822_r,73
chr10_119588370_r,1241
chr10_119589116_r,71
chr10_119591736_r,73
chr10_119593439_r,26
chr10_119594627_r,1298
chr10_119597539_f,113
chr10_119599493_f,14
chr10_119605990_f,40
chr10_119639137_f,44
chr10_119652070_f,12
chr10_119652502_f,161
chr10_11966442_r,838
chr10_11967031_r,200
chr10_11967569_r,133
chr10_119677814_f,350
chr10_11975434_r,106
chr10_11976085_r,118
chr10_119770597_f,5
chr10_119784491_r,3
chr10_119801739_f,87
chr10_11981808_f,4
chr10_119829802_r,115
chr10_119831193_r,307
chr10_119867292_f,82
chr10_119873692_f,51
chr10_119893538_r,26
chr10_119893936_f,13
chr10_119894194_f,7
chr10_119898745_f,3
chr10_119940969_f,47
chr10_119941736_f,118
chr10_119942145_f,74
chr10_11997708_r,95
chr10_12008688_r,19
chr10_12022860_r,153
chr10_12026668_r,497
chr10_12026971_r,261
chr10_12027529_r,52
chr10_12027973_r,47
chr10_12029227_r,124
chr10_12035154_r,3594
chr10_12067547_r,1
chr10_12069426_f,4
chr10_120853137_f,55
chr10_120880656_f,324
chr10_120909520_f,413
chr10_12121219_f,113
chr10_12123188_r,1
chr10_12150174_f,22
chr10_12157522_r,29
chr10_12158755_f,537
chr10_12165330_r,209
chr10_12165657_r,89
chr10_12167574_r,3517
chr10_12168332_r,77
chr10_121740425_r,135
chr10_121781008_r,15
chr10_121782494_r,11
chr10_121792293_r,1
chr10_121827808_r,55
chr10_12183658_r,25
chr10_121896434_r,11
chr10_121927419_r,959
chr10_12194735_r,90
chr10_12195332_r,124
chr10_121957088_r,252
chr10_12196253_f,112
chr10_121967662_r,82
chr10_12200144_r,332
chr10_12200933_f,199
chr10_12206958_f,419
chr10_12209692_f,22
chr10_12213009_f,32
chr10_12216160_f,460
chr10_12220976_f,396
chr10_12224761_f,76
chr10_12230943_f,10
chr10_12231624_f,346
chr10_12236003_f,28
chr10_122412042_f,1
chr10_12250587_f,3156
chr10_12255553_f,20
chr10_12264942_f,45
chr10_122981163_f,26
chr10_122992446_r,444
chr10_122993683_r,348
chr10_122997640_r,9
chr10_122998627_r,103
chr10_123001325_r,528
chr10_123053878_f,10
chr10_123054403_f,12
chr10_123163894_f,241
chr10_123165365_f,1229
chr10_123325118_f,1
chr10_12356721_f,98
chr10_12362959_r,59
chr10_12368742_f,35
chr10_123701071_r,968
chr10_124007703_r,9
chr10_124083592_r,47
chr10_124091318_r,4
chr10_12423116_f,5
chr10_12426733_r,1
chr10_124289621_r,2
chr10_124397310_r,1275
chr10_124400101_r,9
chr10_124406802_f,12
chr10_124417308_r,504
chr10_124494035_f,15
chr10_124613887_f,43
chr10_124614141_f,106
chr10_124619294_r,648
chr10_124620018_r,107
chr10_124729558_r,103
chr10_124732847_r,119
chr10_124738375_r,85
chr10_124738928_r,31
chr10_124740106_r,41
chr10_124744741_f,24
chr10_124760300_r,185
chr10_12476506_f,8
chr10_124771959_r,92
chr10_124777430_r,219
chr10_124780261_r,11
chr10_124783159_r,194
chr10_124784522_r,34
chr10_124788299_r,73
chr10_124789910_r,465
chr10_124801256_r,130
chr10_124802426_f,23
chr10_124806305_f,156
chr10_124836668_f,148
chr10_124917063_f,13
chr10_124918163_f,228
chr10_124923572_f,215
chr10_124927748_f,421
chr10_124931822_f,28
chr10_124934548_f,60
chr10_124939187_f,131
chr10_124942315_f,118
chr10_124946418_f,125
chr10_124950489_f,59
chr10_124958903_f,38
chr10_124959972_f,54
chr10_124963162_f,296
chr10_124964878_f,19
chr10_124968156_f,38
chr10_124974548_f,118
chr10_12497475_f,25
chr10_124984800_f,176
chr10_124985320_f,60
chr10_124986670_f,15
chr10_124988899_r,526
chr10_125009269_r,6
chr10_125029237_r,185
chr10_125046562_r,18
chr10_125075061_r,2
chr10_125104369_r,50
chr10_125110679_r,203
chr10_125111166_r,557
chr10_125112447_r,1113
chr10_125113744_r,12
chr10_125124420_r,114
chr10_125124783_r,230
chr10_125126945_r,142
chr10_125130065_r,2107
chr10_125137796_r,464
chr10_125138244_r,26
chr10_125145921_r,1809
chr10_125146298_r,1546
chr10_125146594_r,788
chr10_125152079_r,13
chr10_125154843_r,66
chr10_125155415_r,705
chr10_125156067_r,332
